project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
mocha,0.0.1-alpha5,17 Nov 2011,1310,350,18.8%,0.0%,271,9.2,2.7,304,0,0,0,268,2,7,257,783,A,6d 5h,8.2%
mongoose,3.0.0alpha1,15 Jun 2012,19825,4373,10.6%,8.7%,2203,54.7,3.2,2346,181,6,6,2077,99,9,2651,12600,A,74d,6.0%
ember.js,v1.10.0-beta.2,23 Dec 2014,67003,14537,20.8%,6.9%,2504,22.9,2.2,17557,402,12,0,2026,398,122,9345,39928,A,77d,1.9%
npm,v0.2.14,06 Jan 2011,7101,3107,7.7%,0.0%,5208,34.1,6.3,595,0,0,76,5082,31,9,929,4448,C,113d,25.6%
npm,v0.2.13-3,29 Dec 2010,6845,2969,7.7%,0.0%,5030,32.6,6.2,574,0,0,77,4903,31,9,891,4286,C,109d,25.7%
underscore,1.4.4,30 Jan 2013,2357,1230,10.3%,0.0%,960,123.0,4.7,272,0,0,0,942,18,2,606,2417,B,25d,17.4%
npm,v1.1.49,14 Aug 2012,6670,2993,9.0%,0.7%,4784,37.9,6.7,662,2,0,23,4742,16,18,855,4226,C,105d,25.3%
bootstrap,v2.0.1,16 Feb 2012,1570,467,11.2%,0.0%,1072,20.3,4.4,199,0,0,0,1042,18,2,237,917,C,26d,27.5%
mongoose,1.1.11,25 Mar 2011,9253,2412,14.0%,5.5%,1226,37.7,2.8,1501,48,3,17,1149,34,14,1487,5691,A,36d,6.4%
mongoose,2.7.1,26 Jun 2012,18383,4051,9.9%,6.5%,2326,50.6,4.2,2018,105,3,1,2221,86,9,2590,12158,A,72d,6.3%
brackets,sprint-32,04 Oct 2013,220589,74023,19.2%,56.1%,40773,131.0,8.7,52562,4653,0,3,35160,4816,132,22726,124788,A,856d,6.2%
less.js,v1.6.1,12 Jan 2014,99130,72498,11.2%,95.2%,44646,557.7,10.4,12449,6878,0,1,42422,2150,8,19625,81715,B,1171d,18.9%
brackets,sprint-16,06 Nov 2012,181740,65531,18.7%,70.7%,31311,162.6,9.5,41852,4664,0,3,26607,4094,76,17634,103950,A,782d,6.9%
request,v2.24.0,23 Jul 2013,3113,870,4.9%,7.2%,1667,24.9,4.2,159,18,0,0,1645,21,3,303,1958,B,38d,19.7%
less.js,v1.3.2,28 Dec 2012,45755,34323,12.7%,92.2%,20834,418.6,10.0,6686,3405,0,0,19898,919,7,9475,37610,B,557d,19.5%
ember.js,v1.7.0-beta.5,10 Aug 2014,61979,14232,21.1%,5.5%,2957,28.6,2.4,16608,316,5,0,2426,406,99,8868,37053,A,89d,2.3%
mongoose,3.8.15,17 Aug 2014,35252,8020,12.7%,9.9%,4912,66.8,4.9,5116,359,9,12,4739,144,9,4824,23729,A,140d,6.4%
mongoose,3.5.7,22 Feb 2013,24959,5410,12.8%,7.3%,3445,60.1,4.5,3662,197,4,6,3316,114,7,3354,17138,A,103d,6.6%
mongoose,1.0.15,18 Feb 2011,8357,2188,14.6%,5.2%,1151,34.2,2.8,1431,40,3,17,1073,34,14,1336,5128,A,34d,6.7%
less.js,v2.1.1,27 Nov 2014,17831,9092,10.2%,74.3%,4520,64.0,9.7,2028,158,3,0,4183,308,18,2527,13093,B,133d,11.9%
mongoose,2.6.8,14 Jun 2012,17674,3939,10.7%,7.0%,1920,54.0,3.1,2128,104,4,8,1797,87,9,2460,11164,A,66d,6.0%
less.js,v1.7.2,22 Jun 2014,173345,112500,11.1%,97.1%,64074,694.4,10.6,21573,11586,18,1,60224,3668,10,29434,133669,B,1733d,16.0%
npm,v0.1.6,10 May 2010,2295,963,10.7%,0.0%,1682,27.5,6.1,274,0,0,34,1629,8,3,295,1451,C,48d,33.5%
mongoose,2.4.6,16 Dec 2011,15705,3582,11.0%,6.9%,1702,47.8,3.1,1935,93,2,8,1595,73,12,2243,9804,A,60d,6.2%
mongoose,3.6.18,22 Aug 2013,29886,6597,12.7%,8.2%,4447,64.0,4.7,4362,246,7,13,4286,135,7,3980,20237,A,128d,6.9%
mongoose,2.3.5,19 Oct 2011,14257,3287,11.2%,6.8%,1461,47.6,3.1,1793,85,4,8,1368,57,12,2058,8898,A,53d,6.0%
bower,v0.10.0,02 Jul 2013,4917,1741,9.3%,7.3%,694,30.0,4.8,505,25,1,0,669,18,15,830,3542,A,27d,9.1%
mongoose,2.5.4,03 Feb 2012,16741,3736,10.6%,7.3%,1792,52.6,3.1,1990,97,2,8,1673,85,9,2348,10522,A,62d,6.0%
underscore,1.4.3,04 Dec 2012,2349,1229,10.3%,0.0%,972,122.9,4.8,270,0,0,0,956,16,2,599,2432,B,26d,17.8%
npm,v1.0.28,15 Sep 2011,7938,3802,10.1%,0.0%,6052,43.2,6.9,892,0,0,53,5970,23,10,1045,5143,C,131d,26.6%
request,v2.26.0,07 Aug 2013,3164,887,4.9%,7.1%,1721,24.6,4.2,164,18,0,0,1697,23,3,312,1999,C,40d,20.3%
q,v0.4.3,09 Jun 2011,1781,691,19.6%,28.0%,445,32.9,3.5,435,28,0,13,417,8,4,400,1237,A,10d,9.6%
npm,v0.2.8,14 Nov 2010,5288,2276,8.0%,0.0%,3898,31.6,5.9,459,0,0,68,3795,15,6,726,3318,C,83d,25.3%
mongoose,0.0.1,14 May 2010,554,217,2.1%,0.0%,322,16.7,3.2,12,0,1,1,316,4,6,100,373,B,5d 1h,14.9%
mocha,1.15.0,02 Dec 2013,7512,2368,20.3%,73.0%,1514,25.7,4.7,1909,104,0,0,1455,55,18,1322,5023,A,45d,9.8%
npm,v0.1.8,11 May 2010,2335,991,10.5%,0.0%,1714,26.1,6.3,274,0,0,34,1662,8,4,299,1475,C,48d,33.5%
npm,v1.3.22,25 Dec 2013,8774,3685,8.4%,0.0%,6153,34.1,6.2,807,0,0,21,6101,28,24,1160,5562,C,136d,24.8%
ember.js,v1.6.0-beta.5,27 May 2014,55474,12737,22.4%,5.6%,2621,27.3,2.3,16002,290,0,0,2176,361,91,8215,33564,A,78d,2.3%
underscore,1.5.1,08 Jul 2013,2503,1287,10.2%,0.0%,999,128.7,4.7,284,0,0,0,977,22,2,635,2576,B,26d,17.0%
brackets,sprint-37,13 Mar 2014,235955,76728,19.3%,52.3%,43270,124.4,8.5,56316,4686,1,3,37535,4956,145,24055,132133,A,870d,5.9%
less.js,v2.3.1,28 Jan 2015,18585,9414,10.1%,74.3%,4631,64.9,9.7,2085,162,3,0,4285,317,18,2605,13609,B,137d,11.8%
bower,v0.6.3,24 Nov 2012,2462,994,12.7%,2.2%,503,24.2,4.9,357,5,0,0,493,7,13,447,1942,B,21d,14.0%
mongoose,2.6.1,30 Apr 2012,17474,3902,10.7%,7.2%,1879,54.2,3.1,2102,104,5,8,1755,87,9,2438,11025,A,65d,6.0%
mongoose,1.3.4,17 May 2011,10362,2666,13.2%,5.7%,1268,40.4,2.9,1580,54,2,17,1189,38,14,1619,6388,A,37d,5.7%
mocha,1.14.0-mwo1,07 Nov 2013,7232,2244,20.1%,73.4%,1393,24.4,4.7,1818,93,0,0,1334,55,18,1230,4821,A,43d,9.6%
mongoose,2.9.2,08 Oct 2012,19194,4230,9.7%,5.9%,2448,52.2,4.3,2054,103,4,1,2341,87,9,2689,12711,A,75d,6.3%
coffeescript,0.9.3,16 Sep 2010,5539,3575,0.6%,0.0%,1453,67.5,9.9,35,0,0,0,1401,52,3,1017,7024,B,41d,12.1%
mongoose,3.2.1,28 Sep 2012,23241,5008,12.9%,7.0%,3079,52.7,4.3,3449,162,4,7,2954,105,10,3130,15663,A,93d,6.4%
mongoose,2.2.1,27 Sep 2011,13180,3118,11.8%,5.6%,1294,45.2,3.0,1760,66,4,9,1199,59,12,1920,8193,A,43d,5.3%
coffeescript,1.5.0,25 Feb 2013,6609,4602,0.9%,0.0%,3233,85.2,17.3,59,0,0,0,3194,39,3,1080,6028,B,71d,17.2%
mongoose,1.7.2,13 Jul 2011,11178,2803,12.7%,5.4%,1301,41.8,2.8,1633,54,2,13,1220,42,14,1735,6937,A,38d,5.6%
mongoose,2.3.13,15 Nov 2011,14796,3411,11.2%,6.8%,1575,49.4,3.1,1859,87,3,8,1481,61,12,2127,9241,A,57d,6.2%
brackets,sprint-7a,30 Apr 2012,19456,5407,25.6%,35.6%,6046,41.0,4.9,6688,41,0,0,5607,221,40,3252,12699,A,70d,5.8%
mongoose,2.3.4,18 Oct 2011,14198,3278,11.2%,6.9%,1432,47.5,3.1,1796,85,4,8,1339,57,12,2050,8852,A,52d,5.9%
node-mysql,v2.0.0-alpha9,27 Aug 2013,5893,1333,4.1%,3.0%,518,10.5,2.6,254,9,21,0,449,47,13,586,4464,A,18d,5.0%
mocha,1.20.0,28 May 2014,8050,2548,19.6%,70.5%,1576,26.8,4.8,1965,106,0,0,1514,58,18,1421,5397,A,47d,9.5%
npm,v0.1.27-5,27 Aug 2010,4116,1834,8.2%,0.6%,3213,29.6,6.1,367,2,0,47,3143,14,5,581,2707,C,69d,27.0%
underscore,1.5.2,07 Sep 2013,2559,1292,10.2%,0.0%,999,143.6,4.7,290,0,0,0,978,21,2,641,2619,B,26d,16.6%
mongoose,2.2.0,22 Sep 2011,13171,3114,11.8%,5.6%,1293,45.1,3.0,1760,66,4,9,1198,59,12,1918,8187,A,43d,5.3%
mongoose,2.6.3,03 May 2012,17530,3914,10.7%,7.2%,1884,54.4,3.1,2102,104,5,8,1760,87,9,2446,11066,A,65d,6.0%
npm,v1.0.15,25 Jun 2011,8031,3836,10.2%,0.2%,6218,40.8,6.9,911,2,0,57,6128,26,9,1043,5278,C,136d,27.2%
mongoose,1.7.3,16 Jul 2011,11197,2807,12.7%,5.4%,1303,41.9,2.8,1633,54,2,13,1222,42,14,1738,6951,A,38d,5.6%
mongoose,0.0.4,26 Nov 2010,938,373,4.3%,3.3%,564,26.6,4.3,42,2,0,0,548,15,4,145,610,B,9d 3h,16.2%
npm,v0.3.0,16 Feb 2011,7104,3160,7.1%,0.0%,5326,34.3,6.3,543,0,0,79,5209,23,10,943,4537,C,119d,26.8%
mongoose,2.2.2,28 Sep 2011,13298,3139,11.7%,5.6%,1314,45.5,3.0,1761,66,4,9,1220,58,12,1938,8286,A,45d,5.4%
mocha,0.0.1-alpha6,19 Nov 2011,2722,754,20.4%,68.0%,561,16.0,3.2,699,51,0,0,530,25,10,509,1690,A,13d,7.9%
mongoose,1.1.8,23 Mar 2011,9146,2386,14.1%,5.5%,1229,37.3,2.8,1504,48,3,17,1150,35,14,1471,5628,A,37d,6.5%
bower,v0.6.4,30 Nov 2012,2484,1004,12.6%,2.2%,515,24.5,4.9,359,5,0,0,503,9,13,452,1960,B,22d,14.5%
mongoose,3.3.0,10 Oct 2012,23504,5086,12.8%,7.1%,3162,53.5,4.3,3455,168,4,6,3037,106,10,3183,15871,A,95d,6.5%
mongoose,1.3.5,18 May 2011,10445,2682,13.2%,5.6%,1274,40.6,2.9,1588,54,2,17,1195,38,14,1633,6436,A,37d,5.7%
mongoose,2.3.6,21 Oct 2011,14279,3291,11.2%,6.8%,1462,47.7,3.1,1795,85,4,8,1368,58,12,2061,8914,A,53d,6.0%
npm,v1.1.63,11 Oct 2012,6909,3093,9.3%,0.0%,4978,38.2,6.7,706,0,0,23,4933,19,18,901,4402,C,109d,25.4%
node-mysql,v2.0.0-rc2,07 Dec 2013,6005,1372,4.3%,2.9%,526,10.6,2.6,270,9,20,0,457,48,13,612,4545,A,18d,4.9%
npm,v1.1.26,15 Jun 2012,7196,3187,8.6%,0.6%,4998,40.9,6.5,676,2,0,47,4931,16,13,912,4373,C,109d,24.3%
mongoose,3.1.1,31 Aug 2012,22327,4849,13.1%,6.9%,2952,51.0,4.3,3364,160,4,5,2829,104,10,3043,14936,A,89d,6.4%
mongoose,3.6.9,02 May 2013,29203,6450,12.8%,8.0%,4324,63.9,4.7,4268,240,6,7,4171,134,7,3893,19786,A,125d,6.9%
mongoose,1.0.14,17 Feb 2011,8349,2186,14.6%,5.2%,1150,34.2,2.8,1431,40,3,17,1072,34,14,1334,5124,A,34d,6.7%
mongoose,3.7.3,23 Aug 2013,32785,7449,13.1%,10.0%,4803,65.3,4.9,4945,328,10,14,4636,137,8,4438,22087,A,136d,6.7%
mongoose,3.8.9,08 May 2014,34545,7858,12.9%,10.1%,4940,66.0,4.9,5098,357,7,12,4771,142,8,4725,23302,A,140d,6.5%
mongoose,2.5.3,01 Feb 2012,16750,3735,10.6%,7.6%,1799,52.6,3.1,1989,99,2,9,1679,85,9,2347,10521,A,62d,6.0%
mongoose,2.0.2,26 Aug 2011,12805,3039,11.5%,6.8%,1216,45.4,3.0,1670,79,3,9,1126,54,11,1890,7996,A,40d,5.0%
mongoose,0.0.2,09 Jul 2010,831,336,4.9%,3.7%,521,24.0,4.2,43,2,0,0,505,15,4,137,543,B,8d 3h,16.2%
less.js,v1.6.3,08 Feb 2014,119283,82417,11.2%,95.9%,48993,584.5,10.4,15010,7954,6,1,46347,2540,10,22066,95088,B,1303d,17.5%
mongoose,2.7.2,18 Jul 2012,18510,4082,9.9%,6.4%,2351,50.4,4.2,2031,105,4,1,2244,87,9,2605,12249,A,73d,6.3%
mongoose,2.4.9,04 Jan 2012,15877,3607,10.9%,6.7%,1716,48.1,3.1,1945,91,2,8,1609,73,12,2254,9923,A,60d,6.1%
npm,v0.2.14-1,07 Jan 2011,7100,3107,7.7%,0.0%,5207,34.1,6.3,595,0,0,76,5081,31,9,929,4447,C,113d,25.6%
mocha,1.8.2,11 Mar 2013,6740,2048,20.2%,74.0%,1422,25.6,4.6,1707,79,0,0,1365,53,13,1163,4468,A,41d,9.8%
bower,v1.0.0-alpha.1,10 Jul 2013,7337,1814,9.0%,9.6%,144,29.3,3.7,725,75,0,7,84,21,14,1132,4279,A,2d 3h,0.5%
mongoose,3.8.16,08 Sep 2014,35403,8047,12.6%,9.9%,4905,67.1,4.9,5122,359,10,12,4730,145,9,4843,23813,A,140d,6.3%
mongoose,4.0.1,28 Mar 2015,41844,9373,12.0%,12.7%,4976,67.4,4.8,5710,442,22,12,4773,161,12,5749,27722,A,144d,5.5%
bootstrap,v2.0.2,12 Mar 2012,1601,476,11.1%,0.0%,1096,20.7,4.5,199,0,0,0,1066,18,2,240,938,C,27d,27.5%
bower,v1.3.7,04 Jul 2014,12763,3059,8.8%,19.6%,246,36.0,3.9,1235,218,3,10,158,42,15,1942,7327,A,4d 7h,0.6%
underscore,1.7.0,26 Aug 2014,3157,1433,9.3%,0.0%,989,179.1,4.7,322,0,1,0,967,21,2,697,3201,B,23d,11.8%
mongoose,2.6.4,15 May 2012,17561,3920,10.7%,7.1%,1887,54.4,3.1,2103,102,4,8,1764,87,9,2449,11085,A,65d,6.0%
mocha,0.8.0,28 Dec 2011,3883,3868,20.3%,72.9%,3043,62.4,7.9,991,61,0,0,2956,81,10,1227,4531,C,77d,32.0%
mongoose,3.8.4,07 Jan 2014,34405,7807,12.9%,10.2%,4909,65.6,4.9,5103,359,7,12,4740,142,8,4701,23194,A,139d,6.5%
mongoose,2.5.6,09 Feb 2012,16900,3759,10.6%,7.3%,1801,52.2,3.1,2003,100,4,8,1679,86,9,2366,10606,A,62d,5.9%
npm,v1.2.16,29 Mar 2013,7466,3343,9.5%,0.0%,5400,38.9,6.7,781,0,0,22,5352,23,20,965,4782,C,118d,25.5%
mongoose,1.1.12,26 Mar 2011,9319,2416,13.9%,5.4%,1227,37.8,2.8,1501,48,3,17,1150,34,14,1490,5738,A,36d,6.3%
bootstrap,v2.0.3,24 Apr 2012,1931,584,10.6%,1.7%,1321,21.6,4.4,230,2,0,0,1276,33,3,297,1145,C,32d,27.3%
bower,v1.0.2,30 Jul 2013,9276,2207,8.7%,12.6%,161,32.9,3.8,888,112,0,7,97,24,14,1438,5477,A,2d 5h,0.5%
bower,v1.1.0,03 Aug 2013,9432,2251,8.9%,12.4%,164,32.6,3.8,922,112,0,7,100,25,14,1457,5580,A,2d 5h,0.5%
npm,v1.3.11,07 Sep 2013,7701,3380,9.2%,0.0%,5530,38.4,6.5,776,0,0,19,5481,28,21,1006,4928,C,122d,25.4%
mongoose,1.1.0,25 Feb 2011,8463,2216,14.6%,5.1%,1161,34.6,2.8,1444,40,4,17,1082,34,14,1350,5199,A,35d,6.6%
mongoose,3.6.0rc1,12 Mar 2013,27714,6105,13.0%,7.8%,4009,62.9,4.6,4132,228,5,7,3864,127,7,3755,18987,A,117d,6.8%
mongoose,2.4.0,29 Nov 2011,15231,3500,11.3%,6.6%,1664,47.9,3.1,1950,87,3,8,1566,63,12,2185,9528,A,60d,6.4%
brackets,splitview-pre-tree2,20 Sep 2014,255355,80393,19.3%,48.8%,45566,116.3,8.2,60993,4790,0,3,39614,5124,171,26524,142174,A,871d,5.5%
mongoose,0.0.5,29 Dec 2010,938,372,4.3%,3.3%,564,26.6,4.3,42,2,0,0,548,15,4,145,610,B,9d 3h,16.2%
mongoose,0.0.3,28 Aug 2010,927,368,4.4%,3.3%,563,26.3,4.3,43,2,0,0,547,15,4,144,606,B,9d 3h,16.3%
underscore,1.6.0,10 Feb 2014,2594,1304,10.6%,0.0%,1024,163.0,4.8,306,0,0,0,1002,22,2,637,2654,B,26d,16.6%
bower,v1.3.0,10 Mar 2014,12325,2977,8.8%,21.3%,238,38.2,3.8,1192,222,1,12,152,41,13,1908,7142,A,4d 5h,0.6%
mongoose,1.3.1,27 Apr 2011,10076,2595,13.2%,5.6%,1259,39.9,2.9,1529,52,2,17,1182,37,14,1583,6224,A,36d,5.8%
q,v0.4.4,10 Jun 2011,1798,697,19.8%,27.6%,445,33.2,3.5,445,28,0,13,417,8,4,403,1249,A,10d,9.5%
less.js,v1.7.4,27 Jul 2014,200575,127687,11.0%,97.5%,71538,751.1,10.7,24887,13615,24,1,67083,4235,10,33152,153151,B,1951d,15.6%
mongoose,3.6.4,03 Apr 2013,28108,6211,13.2%,7.7%,4122,61.5,4.6,4267,230,6,7,3971,132,7,3814,19224,A,120d,6.9%
mocha,1.15.1,03 Dec 2013,7520,2372,20.3%,74.1%,1515,25.8,4.7,1913,100,0,0,1456,55,18,1324,5029,A,46d,9.8%
npm,v2.0.0-beta.1,28 Aug 2014,11496,4329,6.7%,5.3%,7938,25.8,5.7,820,55,1,18,7878,38,33,1529,7370,C,174d,24.2%
ember.js,v0.9.8,21 May 2012,45501,14044,25.4%,37.7%,4176,45.2,4.9,15488,378,1,1,3452,689,69,5615,28556,A,142d,5.0%
mongoose,3.1.0,29 Aug 2012,22327,4849,13.1%,6.9%,2952,51.0,4.3,3364,160,4,5,2829,104,10,3043,14936,A,89d,6.4%
mongoose,3.5.2,17 Dec 2012,24370,5205,12.9%,6.7%,3330,58.5,4.4,3605,162,4,6,3202,113,7,3237,16701,A,100d,6.6%
less.js,v1.4.0-b1,08 Mar 2013,61132,43977,12.2%,93.7%,26009,453.4,10.0,8500,4720,0,0,24688,1297,7,12080,50253,B,713d,18.7%
less.js,v2.1.2,20 Dec 2014,17890,9108,10.2%,74.2%,4530,64.1,9.7,2028,158,3,0,4190,311,18,2534,13130,B,133d,12.0%
mocha,0.7.1,22 Dec 2011,3765,3833,20.4%,72.1%,3024,62.8,7.9,962,55,0,0,2938,80,10,1214,4472,C,77d,32.8%
mocha,1.0.2,25 Apr 2012,5368,1538,20.5%,72.4%,1047,20.0,4.1,1380,71,0,0,996,47,13,972,3441,A,28d,8.5%
underscore,1.8.0,19 Feb 2015,3918,1650,8.9%,2.3%,1020,165.0,4.5,385,2,1,0,1000,19,2,849,3719,A,23d,9.8%
npm,v0.3.0-7,17 Feb 2011,7111,3166,7.1%,0.0%,5334,34.4,6.3,542,0,0,79,5218,23,10,944,4544,C,119d,26.8%
mongoose,3.6.19,04 Sep 2013,29888,6597,12.7%,8.2%,4446,64.0,4.7,4362,244,6,13,4286,135,7,3980,20239,A,128d,6.9%
request,v2.46.0,23 Oct 2014,5433,1249,4.0%,5.8%,2856,26.0,2.8,228,18,0,0,2782,22,4,659,3027,B,64d,18.9%
mongoose,1.0.1,02 Feb 2011,6175,1653,15.9%,3.4%,856,27.6,2.9,1164,20,0,9,817,23,14,987,3818,A,21d,5.6%
mongoose,2.0.3,28 Aug 2011,12875,3059,11.5%,6.6%,1227,45.7,3.0,1671,76,3,9,1136,54,11,1899,8042,A,40d,5.1%
npm,v1.0.102,25 Oct 2011,8580,4070,9.8%,0.0%,6487,44.2,7.0,935,0,0,52,6400,28,10,1110,5550,C,141d,26.4%
npm,v1.0.100,20 Oct 2011,8516,4048,9.8%,0.0%,6437,44.0,7.0,925,0,0,52,6350,28,10,1100,5510,C,140d,26.4%
mongoose,2.4.8,22 Dec 2011,15877,3607,10.9%,6.7%,1716,48.1,3.1,1945,91,2,8,1609,73,12,2254,9923,A,60d,6.1%
npm,v1.2.25,04 Jun 2013,7389,3281,9.3%,0.0%,5340,40.0,6.7,755,0,0,20,5292,26,20,964,4748,C,117d,25.5%
npm,1.0.0rc3,22 Mar 2011,7333,3407,9.2%,0.0%,5637,36.6,6.7,745,0,0,56,5550,27,8,909,4814,C,127d,27.8%
mongoose,3.6.6,18 Apr 2013,28950,6303,12.9%,7.7%,4190,62.4,4.6,4275,234,6,7,4040,131,7,3871,19577,A,122d,6.8%
mongoose,2.5.8,21 Feb 2012,16902,3761,10.6%,7.3%,1804,52.2,3.1,2003,100,4,8,1682,86,9,2366,10608,A,62d,5.9%
mocha,1.20.1,03 Jun 2014,8050,2548,19.6%,70.5%,1576,26.8,4.8,1965,106,0,0,1514,58,18,1421,5397,A,47d,9.5%
mongoose,2.2.3,29 Sep 2011,13298,3139,11.7%,5.6%,1314,45.5,3.0,1761,66,4,9,1220,58,12,1938,8286,A,45d,5.4%
mongoose,3.3.1,11 Oct 2012,23524,5092,12.8%,7.1%,3161,53.6,4.3,3455,168,4,6,3036,106,10,3186,15886,A,94d,6.5%
npm,v1.0.0rc8,25 Mar 2011,6980,3295,9.5%,0.0%,5445,36.2,6.7,731,0,0,56,5360,25,8,887,4617,C,122d,28.1%
source-map,0.1.0,08 Sep 2011,1214,271,41.3%,0.0%,99,12.3,4.3,855,0,1,1,91,5,5,124,669,A,5d 2h,6.9%
ember.js,v1.1.1,23 Oct 2013,44813,10874,22.9%,5.5%,2216,25.0,2.3,13339,245,0,0,1915,270,87,7072,28477,A,65d,2.3%
npm,v2.1.0,26 Sep 2014,12639,4588,6.3%,7.3%,8718,24.9,5.5,847,77,2,15,8657,40,35,1695,8122,C,190d,24.1%
mongoose,1.3.6,19 May 2011,10559,2696,13.1%,5.6%,1274,40.8,2.9,1588,54,2,17,1195,38,14,1637,6520,A,37d,5.7%
mongoose,3.5.9,15 Mar 2013,25111,5449,12.8%,7.4%,3485,59.9,4.5,3681,197,4,6,3356,114,7,3384,17247,A,104d,6.6%
request,v2.27.0,15 Aug 2013,3179,888,4.9%,7.1%,1730,22.2,4.2,164,18,0,0,1706,23,4,312,2006,C,40d,20.3%
q,v0.5.3,24 Jun 2011,1898,754,19.2%,26.4%,470,35.9,3.5,452,28,0,13,443,8,4,442,1348,A,10d,9.2%
npm,v1.1.4,02 Mar 2012,9226,4326,9.9%,0.0%,6810,46.5,7.0,1015,0,0,56,6720,28,10,1179,5878,C,149d,25.9%
mocha,0.8.1,30 Dec 2011,3885,3868,20.3%,72.9%,3041,62.4,7.9,991,61,0,0,2954,81,10,1227,4533,C,77d,31.9%
mongoose,3.5.3,26 Dec 2012,24770,5322,12.7%,7.4%,3375,59.8,4.4,3608,197,4,6,3246,114,7,3326,16986,A,101d,6.5%
mongoose,3.6.16,08 Aug 2013,29719,6566,12.8%,8.3%,4413,63.7,4.7,4358,246,6,9,4258,134,7,3965,20137,A,127d,6.9%
mongoose,3.6.20,23 Sep 2013,29950,6613,12.7%,8.3%,4453,64.2,4.7,4372,248,6,9,4296,135,7,3989,20285,A,128d,6.9%
mongoose,1.1.1,01 Mar 2011,8525,2229,14.6%,5.1%,1163,34.8,2.8,1457,40,4,17,1084,34,14,1361,5234,A,35d,6.6%
mongoose,3.8.10,20 May 2014,34681,7895,12.8%,10.1%,4952,66.3,4.9,5098,357,7,12,4783,142,8,4749,23386,A,140d,6.5%
npm,v0.1.10,14 May 2010,2432,1045,10.2%,0.0%,1832,27.5,6.3,276,0,0,35,1780,7,4,314,1555,C,51d,33.7%
